track_id,title,artist_name,duration,danceability,energy,tempo,key,mode,loudness,song_hotttnesss,artist_hotttnesss,year
TRAAAAW128F429D538,I Didn't Mean To,Casual,218.93179,0.0,0.0,92.198,1,0,-11.197,0.6021199899057548,0.4019975433642836,0
TRAAABD128F429CF47,Soul Deep,The Box Tops,148.03546,0.0,0.0,121.274,6,0,-9.843,,0.4174996449709784,1969
TRAAADZ128F9348C2E,Amor De Cabaret,Sonora Santanera,177.47546,0.0,0.0,100.07,8,1,-9.689,,0.34342837829688244,0
TRAAAEF128F4273421,Something Girls,Adam Ant,233.40363,0.0,0.0,119.293,0,1,-9.013,,0.4542311565706205,1982
TRAAAFD128F92F423A,Face the Ashes,Gob,209.60608,0.0,0.0,129.738,2,1,-4.501,0.6045007385888197,0.40172368550367865,2007
TRAAAMO128F1481E7F,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,267.7024,0.0,0.0,147.782,5,1,-9.323,,0.385470550555821,0
TRAAAMQ128F1460CD3,Keepin It Real (Skit),Rated R,114.78159,0.0,0.0,111.787,1,1,-17.302,,0.2619411773808474,0
TRAAAPK128E0786D96,Drop of Rain,Tweeterfriendly Music,189.57016,0.0,0.0,101.43,4,0,-11.642,,0.6055071356905752,0
TRAAARJ128F9320760,Pink World,Planet P Project,269.81832,0.0,0.0,86.643,4,1,-13.496,0.26586104921065007,0.33227574659906806,1984
TRAAAVG12903CFA543,Insatiable (Instrumental Version),Clp,266.39628,0.0,0.0,114.041,7,0,-6.697,,0.42270564102939107,0
TRAAAVO128F93133D4,Young Boy Blues,JennyAnyKind,218.77506,0.0,0.0,146.765,5,0,-10.021,0.0,0.29626895431146333,0
TRAABCL128F4286650,The Urgency (LP Version),Wayne Watson,245.21098,0.0,0.0,117.975,7,1,-7.545,0.26586104921065007,0.35155586118563925,0
TRAABDL12903CAABBA,La Culpa,Andy Andy,226.35057,0.0,0.0,130.04,9,1,-6.632,0.0,0.3794821702804675,0
TRAABJL12903CDCF1A,Auguri Cha Cha,Bob Azzam,191.84281,0.0,0.0,137.334,10,0,-7.75,0.0,0.25193652476242323,0
TRAABJV128F1460C49,Tonight Will Be Alright,Lionel Richie,307.3824,0.0,0.0,125.197,3,1,-8.346,,0.5530719914619753,1986
TRAABLR128F423B7E3,Floating,Blue Rodeo,491.12771,0.0,0.0,119.826,7,1,-8.576,0.4051157216913865,0.4479354804795022,1987
TRAABNV128F425CEE1,High Tide,Richard Souther,228.5971,0.0,0.0,127.756,8,1,-16.11,0.3347065490692206,0.33080635685585685,0
TRAABRB128F9306DD5,Sohna Nee Sohna Data,Faiz Ali Faiz,599.24853,0.0,0.0,99.273,6,1,-8.032,,0.30667609347902947,0
TRAABVM128F92CA9DC,Caught In A Dream,Tesla,290.29832,0.0,0.0,150.062,7,1,-5.271,0.6841361912294903,0.5134632897021558,2004
TRAABXG128F9318EBD,Synthetic Dream,lextrical,165.69424,0.0,0.0,138.331,7,1,-6.787,0.0,0.0,0
TRAABYN12903CFD305,Broken-Down Merry-Go-Round,Jimmy Wakely,151.84934,0.0,0.0,86.186,1,1,-15.221,,0.29153972708877773,0
TRAABYW128F4244559,Kassie Jones,Alice Stuart,220.78649,0.0,0.0,110.382,11,1,-8.514,0.0,0.3285530150180186,0
TRAACCG128F92E8A55,Setanta matins,Elena,269.58322,0.0,0.0,111.874,2,1,-8.05,0.3135621142479342,0.37825468551016656,0
TRAACER128F4290F96,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,207.77751,0.0,0.0,166.862,7,1,-4.264,0.6665278462297023,0.5418889720336469,2004
TRAACFV128F935E50B,James (Hold The Ladder Steady),SUE THOMPSON,124.86485,0.0,0.0,137.522,10,1,-12.332,0.4952936212921635,0.3062422642462862,1985
TRAACHN128F1489601,Made Like This (Live),Five Bolt Main,225.09669,0.0,0.0,164.672,7,1,-5.908,0.37598430150044215,0.3636513650591166,0
TRAACIW12903CC0F6D,Superconfidential,Clp,338.31138,0.0,0.0,125.006,6,0,-6.486,,0.42270564102939107,0
TRAACLV128F427E123,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,186.48771,0.0,0.0,90.022,5,1,-4.516,,0.3499126116745628,2005
TRAACNS128F14A2DF5,Spanish Grease,Willie Bobo,168.25424,0.0,0.0,127.025,8,1,-9.616,,0.3796711247498673,1997
TRAACOW128F933E35F,Crazy Mixed Up World,Faye Adams,156.39465,0.0,0.0,95.957,8,1,-18.051,0.0,0.2992303679293693,1961
