filename,tempo,mfcc_1,mfcc_2,mfcc_3,spectral_centroid,zero_crossing_rate,rms_energy,valence_mean,arousal_mean
1000.mp3,[135.99917763],-29.948387,102.49831,-6.466927,2112.49072981232,0.0910281721652476,0.24837296,6.8,5.6
1001.mp3,[117.45383523],-171.78168,127.034515,-18.169806,1818.3315869790224,0.0947998802728328,0.06622912,4.4,3.8
1002.mp3,[143.5546875],-326.30197,116.39064,33.719795,1191.87329153765,0.0458183170472136,0.074306235,4.5,3.2
1003.mp3,[89.10290948],-296.1322,89.952065,11.780211,1789.1718029363435,0.0663590091669891,0.0644073,5.3,3.3
1004.mp3,[112.34714674],-143.30663,129.08107,-31.120785,1722.772855188996,0.0751888877467105,0.0860814,3.8,4.7
1005.mp3,[117.45383523],-176.18507,120.465096,-3.9362023,1635.2675203836045,0.0642131415683049,0.07165569,5.4,5.1
1006.mp3,[172.265625],-274.1229,86.78691,15.246985,2121.980531757415,0.0799908239405959,0.05437335,4.6,4.4
1007.mp3,[135.99917763],-251.3526,81.48291,7.854146,2285.738923493052,0.0822447785652089,0.057740647,5.2,5.4
1008.mp3,[135.99917763],-257.89542,124.47372,-18.212164,1762.2540988264964,0.0845236763496517,0.0441978,6.0,5.4
1009.mp3,[135.99917763],-281.8458,170.61159,-50.385124,1172.5637213790967,0.0622165550019349,0.05458742,3.5,3.7
101.mp3,[161.49902344],-429.56995,124.92752,21.143095,997.6990911968824,0.0463511936435758,0.025138991,3.4,2.8
1010.mp3,[123.046875],-292.50577,89.21251,-26.682926,2259.2748446425835,0.1231916209123452,0.026738828,6.5,6.5
1011.mp3,[172.265625],-388.7318,150.02032,6.674811,928.238192223508,0.0307938425164473,0.035057217,4.5,3.0
1012.mp3,[117.45383523],-283.23935,182.50015,-25.404993,859.5117008560177,0.0382907737519349,0.07791087,4.3,2.9
1013.mp3,[143.5546875],-281.12524,199.8432,-31.674036,889.7192484689602,0.0563745646284829,0.07712349,3.2,3.5
1014.mp3,[103.359375],-184.30513,118.83424,25.880339,1771.311575532193,0.0630215387964396,0.09988056,4.9,4.5
1015.mp3,[184.5703125],-118.54291,90.26488,-33.3725,2484.7161424891538,0.1482957775009674,0.056473345,5.9,6.3
1016.mp3,[161.49902344],-386.16104,67.85978,32.939568,1474.901981134864,0.042689840121904,0.0460169,3.3,1.9
1017.mp3,[143.5546875],-298.06216,133.8863,7.7618737,1250.7119546639992,0.0474588966960139,0.05837913,4.1,3.8
1018.mp3,[123.046875],-257.70923,125.63651,8.778879,1510.0333543441802,0.0551765371033281,0.052320007,3.7,2.5
1019.mp3,[135.99917763],-301.50775,144.02946,26.709593,1037.495069488145,0.0420224216331269,0.07407033,4.3,2.8
102.mp3,[161.49902344],-136.7903,161.11871,-64.64472,1378.8553808620543,0.0748895698287538,0.18013237,6.5,5.4
1020.mp3,[172.265625],-227.75558,103.69428,22.598272,1878.1144367221984,0.0658854670568885,0.07015605,3.4,2.5
1021.mp3,[143.5546875],-155.00978,114.25719,1.4892454,1683.1337842216071,0.0604962328270123,0.09215055,6.2,4.8
1022.mp3,[117.45383523],-285.67834,144.11978,4.569341,1202.991854029282,0.0465605650154798,0.058360983,3.3,3.3
1023.mp3,[184.5703125],-305.12576,193.8898,-16.05279,797.3714986838804,0.0444400185032894,0.06438886,2.9,2.3
1024.mp3,[103.359375],-242.09772,176.5014,-54.706173,1139.7689735054437,0.0685653450319272,0.07573799,3.2,2.9
1025.mp3,[135.99917763],-113.63451,93.74981,-24.766153,2277.899817938051,0.1250521538796439,0.075851224,5.1,6.1
1026.mp3,[184.5703125],-350.55307,120.41295,48.740715,966.6259956720542,0.0204685081269349,0.08075169,3.7,2.8
1027.mp3,[107.66601562],-135.20827,110.47394,-12.89916,1978.6925888331164,0.083400478303986,0.0739824,4.6,3.8
1028.mp3,[103.359375],-120.61188,108.03208,-22.90361,2006.9137463712011,0.1034812336735681,0.07828027,4.5,4.8
1029.mp3,[135.99917763],-189.00458,95.0871,-13.825919,1965.173287450624,0.0776801803163699,0.07909248,3.9,4.5
